Unnamed: 0,COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
0,Aruba,ABW,AMRO,REPORTING,2023-12-29,217124.0,90493.0,203.0,85.0,84363.0,79.0,0.0,2021-02-17,0.0,35659.0,33.0
1,Afghanistan,AFG,EMRO,REPORTING,2023-12-31,22964750.0,19151369.0,59.0,49.0,18370386.0,47.0,0.0,2021-02-22,0.0,2729940.0,7.0
2,Angola,AGO,AFRO,REPORTING,2023-12-31,27819132.0,16550642.0,85.0,50.0,9609080.0,29.0,0.0,2021-03-10,0.0,3067091.0,9.0
3,Anguilla,AIA,AMRO,REPORTING,2023-12-29,24864.0,10858.0,166.0,72.0,10382.0,69.0,0.0,2021-02-05,0.0,3231.0,22.0
4,Albania,ALB,EURO,REPORTING,2023-12-23,3088966.0,1349255.0,107.0,47.0,1279333.0,44.0,0.0,2021-01-13,0.0,402371.0,14.0
5,Andorra,AND,EURO,REPORTING,2023-12-23,157072.0,57913.0,203.0,75.0,53501.0,69.0,0.0,2021-01-20,0.0,43071.0,56.0
6,Argentina,ARG,AMRO,REPORTING,2023-12-29,116686617.0,41188650.0,258.0,91.0,38090133.0,84.0,0.0,2020-12-29,0.0,27718875.0,61.0
7,Armenia,ARM,EURO,REPORTING,2023-12-23,2256919.0,1150915.0,76.0,39.0,1030758.0,35.0,0.0,2021-01-27,0.0,81354.0,3.0
8,Antigua and Barbuda,ATG,AMRO,REPORTING,2023-12-29,136512.0,64290.0,139.0,66.0,62384.0,64.0,0.0,2021-03-01,0.0,9838.0,10.0
9,Australia,AUS,WPRO,REPORTING,2023-12-31,69686752.0,22443557.0,273.0,88.0,21766240.0,85.0,0.0,2021-02-21,0.0,14391682.0,56.0
10,Austria,AUT,EURO,REPORTING,2023-12-23,20403676.0,6909588.0,229.0,78.0,6682372.0,75.0,0.0,2020-12-30,0.0,5405966.0,61.0
11,Azerbaijan,AZE,EURO,REPORTING,2023-12-23,13829360.0,5436662.0,136.0,54.0,4888112.0,48.0,0.0,2021-01-20,0.0,3504588.0,35.0
12,Burundi,BDI,AFRO,REPORTING,2023-12-31,42252.0,36909.0,0.0,0.0,36321.0,0.0,0.0,2021-10-18,0.0,314.0,0.0
13,Belgium,BEL,EURO,REPORTING,2023-12-23,29117755.0,9248897.0,253.0,80.0,9152736.0,79.0,0.0,2020-12-30,0.0,7246551.0,63.0
14,Benin,BEN,AFRO,REPORTING,2023-12-31,4232541.0,3697190.0,35.0,30.0,2742837.0,23.0,0.0,2021-03-29,0.0,0.0,0.0
15,Burkina Faso,BFA,AFRO,REPORTING,2023-12-31,7893609.0,6089089.0,38.0,29.0,5232347.0,25.0,0.0,2021-06-02,0.0,4056.0,0.0
16,Bulgaria,BGR,EURO,REPORTING,2023-12-23,4723016.0,2155863.0,68.0,31.0,2080472.0,30.0,0.0,2020-12-30,0.0,864723.0,12.0
17,Bahamas,BHS,AMRO,REPORTING,2023-12-29,366359.0,174810.0,93.0,44.0,166972.0,42.0,0.0,2021-03-14,0.0,33717.0,9.0
18,Bosnia and Herzegovina,BIH,EURO,REPORTING,2023-12-23,1190949.0,546013.0,36.0,17.0,461202.0,14.0,0.0,2022-01-01,0.0,182203.0,6.0
19,Belarus,BLR,EURO,REPORTING,2023-12-23,22765402.0,6451746.0,241.0,68.0,6366658.0,67.0,0.0,2021-02-03,0.0,5724423.0,61.0
20,Belize,BLZ,AMRO,REPORTING,2023-12-29,511106.0,236221.0,129.0,59.0,221478.0,56.0,0.0,2021-03-01,0.0,53189.0,13.0
21,Bermuda,BMU,AMRO,REPORTING,2023-12-29,136759.0,48554.0,220.0,78.0,47657.0,77.0,0.0,2021-01-11,0.0,32016.0,51.0
22,Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2023-12-29,16104540.0,7505389.0,138.0,64.0,6307628.0,54.0,0.0,2021-01-30,0.0,2521192.0,22.0
23,Brazil,BRA,AMRO,REPORTING,2023-12-29,516237106.0,184663245.0,243.0,87.0,172876264.0,81.0,0.0,2021-01-17,0.0,110574302.0,52.0
24,Barbados,BRB,AMRO,REPORTING,2023-12-29,384049.0,163853.0,134.0,57.0,155047.0,54.0,0.0,2021-01-08,0.0,62848.0,22.0
25,Botswana,BWA,AFRO,REPORTING,2023-12-31,3171667.0,1951054.0,135.0,83.0,1663490.0,71.0,0.0,2021-03-26,0.0,510809.0,22.0
26,Central African Republic,CAF,AFRO,REPORTING,2023-12-31,3342248.0,2600389.0,69.0,54.0,2484985.0,51.0,0.0,2021-03-19,0.0,366221.0,8.0
27,Canada,CAN,AMRO,REPORTING,2023-12-29,99034734.0,32647931.0,262.0,87.0,31314748.0,83.0,0.0,2020-12-14,0.0,19860368.0,53.0
